id,Details,NDVI,PLATFORM,Yield
191,HiRain_Hard_SP,0.97752455,TAMU,96
192,HiRain_Hard_SP,0.969938353,TAMU,119
193,HiRain_Hard_SP,0.969979756,TAMU,118
194,HiRain_Hard_SP,0.969756362,TAMU,118
195,HiRain_Hard_SP,0.971518446,TAMU,103
196,HiRain_Hard_SP,0.969556984,TAMU,123
197,HiRain_Hard_SP,0.947014888,TAMU,103
198,HiRain_Hard_SP,0.952304423,TAMU,93
199,HiRain_Hard_SP,0.95365015,TAMU,107
200,HiRain_Hard_SP,0.957081101,TAMU,100
201,HiRain_Hard_SP,0.967863788,TAMU,113
202,HiRain_Hard_SP,0.955019425,TAMU,111
203,HiRain_Hard_SP,0.956879205,TAMU,105
204,HiRain_Hard_SP,0.966288254,TAMU,115
205,HiRain_Hard_SP,0.966359531,TAMU,103
206,HiRain_Hard_SP,0.958728536,TAMU,108
207,HiRain_Hard_SP,0.957590666,TAMU,100
208,HiRain_Hard_SP,0.960950445,TAMU,100
209,HiRain_Hard_SP,0.959526352,TAMU,96
210,HiRain_Hard_SP,0.958528919,TAMU,84
211,HiRain_Hard_SP,0.89465257,TAMU,71
212,HiRain_Hard_SP,0.955166837,TAMU,91
213,HiRain_Hard_SP,0.953908772,TAMU,94
214,HiRain_Hard_SP,0.957558249,TAMU,102
215,HiRain_Hard_SP,0.961624829,TAMU,99
216,HiRain_Hard_SP,0.967760134,TAMU,101
217,HiRain_Hard_SP,0.969691985,TAMU,103
218,HiRain_Hard_SP,0.960904257,TAMU,115
219,HiRain_Hard_SP,0.964068132,TAMU,109
220,HiRain_Hard_SP,0.9583349,TAMU,110
221,HiRain_Hard_SP,0.943697849,TAMU,90
222,HiRain_Hard_SP,0.919442799,TAMU,75
223,HiRain_Hard_SP,0.937740047,TAMU,84
224,HiRain_Hard_SP,0.944759253,TAMU,84
225,HiRain_Hard_SP,0.949377751,TAMU,92
226,HiRain_Hard_SP,0.948937898,TAMU,92
227,HiRain_Hard_SP,0.936659735,TAMU,91
228,HiRain_Hard_SP,0.949076571,TAMU,101
229,HiRain_Hard_SP,0.945598885,TAMU,101
230,HiRain_Hard_SP,0.944861455,TAMU,99
231,HiRain_Hard_SP,0.963778503,TAMU,104
232,HiRain_Hard_SP,0.962225482,TAMU,119
233,HiRain_Hard_SP,0.959143229,TAMU,109
234,HiRain_Hard_SP,0.958611449,TAMU,104
235,HiRain_Hard_SP,0.95171792,TAMU,97
236,HiRain_Hard_SP,0.944525571,TAMU,102
237,HiRain_Hard_SP,0.944626516,TAMU,99
238,HiRain_Hard_SP,0.94342403,TAMU,95
239,HiRain_Hard_SP,0.970728089,TAMU,97
1,HiRain_SWW_SP,0.92588959,TAMU,62
2,HiRain_SWW_SP,0.934329333,TAMU,68
3,HiRain_SWW_SP,0.960406155,TAMU,90
4,HiRain_SWW_SP,0.949333498,TAMU,77
5,HiRain_SWW_SP,0.938614419,TAMU,68
6,HiRain_SWW_SP,0.930354374,TAMU,69
7,HiRain_SWW_SP,0.939717022,TAMU,67
8,HiRain_SWW_SP,0.945731106,TAMU,72
9,HiRain_SWW_SP,0.937170305,TAMU,75
10,HiRain_SWW_SP,0.950125941,TAMU,83
11,HiRain_SWW_SP,0.950346144,TAMU,87
12,HiRain_SWW_SP,0.94991774,TAMU,86
13,HiRain_SWW_SP,0.932044741,TAMU,72
14,HiRain_SWW_SP,0.956136148,TAMU,60
15,HiRain_SWW_SP,0.947583417,TAMU,57
16,HiRain_SWW_SP,0.955427441,TAMU,82
17,HiRain_SWW_SP,0.961581172,TAMU,103
18,HiRain_SWW_SP,0.954714073,TAMU,90
19,HiRain_SWW_SP,0.953636034,TAMU,90
20,HiRain_SWW_SP,0.941618326,TAMU,83
21,HiRain_SWW_SP,0.954092877,TAMU,95
22,HiRain_SWW_SP,0.936061905,TAMU,83
23,HiRain_SWW_SP,0.951279003,TAMU,94
24,HiRain_SWW_SP,0.938092764,TAMU,73
25,HiRain_SWW_SP,0.951745251,TAMU,80
26,HiRain_SWW_SP,0.951012853,TAMU,83
27,HiRain_SWW_SP,0.936430874,TAMU,79
28,HiRain_SWW_SP,0.949544847,TAMU,86
29,HiRain_SWW_SP,0.963216369,TAMU,104
30,HiRain_SWW_SP,0.948057418,TAMU,91
31,HiRain_SWW_SP,0.956024164,TAMU,95
32,HiRain_SWW_SP,0.955880537,TAMU,87
33,HiRain_SWW_SP,0.950310865,TAMU,89
34,HiRain_SWW_SP,0.952902102,TAMU,85
35,HiRain_SWW_SP,0.95250516,TAMU,89
36,HiRain_SWW_SP,0.951508355,TAMU,87
37,HiRain_SWW_SP,0.9419665,TAMU,65
38,HiRain_SWW_SP,0.955683368,TAMU,81
39,HiRain_SWW_SP,0.960752305,TAMU,94
40,HiRain_SWW_SP,0.969777065,TAMU,100
41,HiRain_SWW_SP,0.964408891,TAMU,105
42,HiRain_SWW_SP,0.962948071,TAMU,68
43,HiRain_SWW_SP,0.951519837,TAMU,67
44,HiRain_SWW_SP,0.960920149,TAMU,109
45,HiRain_SWW_SP,0.952725088,TAMU,90
46,HiRain_SWW_SP,0.961588163,TAMU,105
47,HiRain_SWW_SP,0.942665923,TAMU,95
48,HiRain_SWW_SP,0.953825993,TAMU,93
49,HiRain_SWW_SP,0.959141774,TAMU,103
50,HiRain_SWW_SP,0.958459412,TAMU,96
51,HiRain_SWW_SP,0.918847346,TAMU,90
52,HiRain_SWW_SP,0.953892571,TAMU,92
53,HiRain_SWW_SP,0.929686794,TAMU,74
54,HiRain_SWW_SP,0.94682975,TAMU,84
55,HiRain_SWW_SP,0.956593918,TAMU,89
56,HiRain_SWW_SP,0.957722983,TAMU,87
57,HiRain_SWW_SP,0.949403004,TAMU,83
58,HiRain_SWW_SP,0.953418211,TAMU,94
59,HiRain_SWW_SP,0.950018231,TAMU,88
60,HiRain_SWW_SP,0.957074268,TAMU,93
61,HiRain_SWW_SP,0.945101261,TAMU,77
62,HiRain_SWW_SP,0.964640436,TAMU,99
63,HiRain_SWW_SP,0.958249242,TAMU,98
64,HiRain_SWW_SP,0.96071757,TAMU,103
65,HiRain_SWW_SP,0.948663413,TAMU,90
66,HiRain_SWW_SP,0.958919547,TAMU,102
67,HiRain_SWW_SP,0.926775556,TAMU,59
68,HiRain_SWW_SP,0.941917871,TAMU,63
69,HiRain_SWW_SP,0.963548458,TAMU,105
70,HiRain_SWW_SP,0.958219791,TAMU,80
71,HiRain_SWW_SP,0.95625456,TAMU,92
72,HiRain_SWW_SP,0.94614264,TAMU,73
73,HiRain_SWW_SP,0.933101625,TAMU,76
74,HiRain_SWW_SP,0.914247723,TAMU,61
75,HiRain_SWW_SP,0.924101692,TAMU,71
76,HiRain_SWW_SP,0.874914064,TAMU,41
77,HiRain_SWW_SP,0.952057619,TAMU,89
78,HiRain_SWW_SP,0.94047338,TAMU,86
79,HiRain_SWW_SP,0.936750711,TAMU,88
80,HiRain_SWW_SP,0.946344923,TAMU,91
81,HiRain_SWW_SP,0.961428967,TAMU,108
82,HiRain_SWW_SP,0.938632606,TAMU,75
83,HiRain_SWW_SP,0.922901474,TAMU,61
84,HiRain_SWW_SP,0.9354198,TAMU,62
85,HiRain_SWW_SP,0.961094451,TAMU,89
86,HiRain_SWW_SP,0.939895605,TAMU,93
87,HiRain_SWW_SP,0.939706628,TAMU,101
88,HiRain_SWW_SP,0.932689895,TAMU,95
89,HiRain_SWW_SP,0.936200372,TAMU,79
90,HiRain_SWW_SP,0.9366711,TAMU,89
91,HiRain_SWW_SP,0.962198611,TAMU,104
92,HiRain_SWW_SP,0.959004947,TAMU,92
93,HiRain_SWW_SP,0.930012901,TAMU,85
94,HiRain_SWW_SP,0.949088107,TAMU,86
95,HiRain_SWW_SP,0.926191944,TAMU,102
96,HiRain_SWW_SP,0.927218956,TAMU,88
97,HiRain_SWW_SP,0.932932615,TAMU,94
98,HiRain_SWW_SP,0.945872015,TAMU,89
99,HiRain_SWW_SP,0.929275018,TAMU,68
100,HiRain_SWW_SP,0.943032068,TAMU,83
101,HiRain_SWW_SP,0.945553582,TAMU,98
102,HiRain_SWW_SP,0.938087254,TAMU,85
103,HiRain_SWW_SP,0.938248927,TAMU,86
104,HiRain_SWW_SP,0.931775807,TAMU,80
105,HiRain_SWW_SP,0.891511412,TAMU,67
106,HiRain_SWW_SP,0.87963255,TAMU,56
107,HiRain_SWW_SP,0.920710189,TAMU,40
108,HiRain_SWW_SP,0.911654971,TAMU,65
109,HiRain_SWW_SP,0.923810526,TAMU,72
110,HiRain_SWW_SP,0.935139474,TAMU,77
111,HiRain_SWW_SP,0.924000614,TAMU,91
112,HiRain_SWW_SP,0.960902211,TAMU,84
113,HiRain_SWW_SP,0.957768167,TAMU,96
114,HiRain_SWW_SP,0.957549984,TAMU,87
115,HiRain_SWW_SP,0.947834191,TAMU,95
116,HiRain_SWW_SP,0.937193719,TAMU,91
117,HiRain_SWW_SP,0.912880582,TAMU,83
118,HiRain_SWW_SP,0.919428838,TAMU,80
119,HiRain_SWW_SP,0.9273159,TAMU,73
120,HiRain_SWW_SP,0.936266246,TAMU,80
121,HiRain_SWW_SP,0.934104285,TAMU,78
122,HiRain_SWW_SP,0.942578267,TAMU,100
123,HiRain_SWW_SP,0.937026099,TAMU,75
124,HiRain_SWW_SP,0.955698978,TAMU,92
125,HiRain_SWW_SP,0.92959356,TAMU,74
126,HiRain_SWW_SP,0.950989649,TAMU,78
127,HiRain_SWW_SP,0.953999818,TAMU,101
128,HiRain_SWW_SP,0.941408311,TAMU,91
