id,Details,NDRE_TAMU,NDRE_WSU,Yield
221,HiRain_SWW_SP,0.168280776,0.362860023,94
222,HiRain_SWW_SP,0.073322028,0.292154278,74
223,HiRain_SWW_SP,0.091033765,0.302149323,82
224,HiRain_SWW_SP,0.080259181,0.299377509,78
225,HiRain_SWW_SP,0.155434245,0.35337602,92
226,HiRain_SWW_SP,0.149347046,0.349488256,88
227,HiRain_SWW_SP,0.12799625,0.335229624,94
228,HiRain_SWW_SP,0.119519558,0.33289927,90
229,HiRain_SWW_SP,0.132760433,0.338728542,76
230,HiRain_SWW_SP,0.171075384,0.368628695,95
231,HiRain_SWW_SP,0.118588186,0.337461864,93
232,HiRain_SWW_SP,0.225848569,0.410251141,97
233,HiRain_SWW_SP,0.221182896,0.406149511,98
234,HiRain_SWW_SP,0.235907709,0.419315694,96
235,HiRain_SWW_SP,0.248887631,0.429024554,104
236,HiRain_SWW_SP,0.200948379,0.389723167,108
237,HiRain_SWW_SP,0.16270346,0.362517802,93
238,HiRain_SWW_SP,0.188676366,0.383400583,96
239,HiRain_SWW_SP,0.166198704,0.377706465,86
240,HiRain_SWW_SP,0.22224359,0.418206303,97
241,HiRain_SWW_SP,0.17007846,0.390908273,87
242,HiRain_SWW_SP,0.226963558,0.42941902,88
243,HiRain_SWW_SP,0.048447512,0.308914006,71
244,HiRain_SWW_SP,0.210428814,0.409425067,81
245,HiRain_SWW_SP,0.185948597,0.394782792,86
246,HiRain_SWW_SP,0.222843581,0.420207845,83
247,HiRain_SWW_SP,0.206245929,0.406832697,85
248,HiRain_SWW_SP,0.187908962,0.393618725,90
249,HiRain_SWW_SP,0.14748865,0.36077105,78
250,HiRain_SWW_SP,0.164790261,0.371773369,98
1,Metribuzin_Trail_NoSpray,0.241135375,0.421079785,119
2,Metribuzin_Trail_NoSpray,0.239197461,0.423354448,119
3,Metribuzin_Trail_NoSpray,0.227265155,0.421071064,120
4,Metribuzin_Trail_NoSpray,0.281587138,0.460734102,127
