id,Details,NDRE,PLATFORM,Yield
131,HiRain_SWW_SP,0.149287083,TAMU,106
132,HiRain_SWW_SP,0.197084283,TAMU,88
133,HiRain_SWW_SP,0.209719577,TAMU,93
134,HiRain_SWW_SP,0.131257872,TAMU,80
135,HiRain_SWW_SP,0.160250559,TAMU,86
136,HiRain_SWW_SP,0.134332177,TAMU,94
137,HiRain_SWW_SP,0.161002799,TAMU,100
138,HiRain_SWW_SP,0.189502005,TAMU,95
139,HiRain_SWW_SP,0.090793965,TAMU,79
140,HiRain_SWW_SP,0.08349076,TAMU,79
141,HiRain_SWW_SP,0.219225645,TAMU,94
142,HiRain_SWW_SP,0.191332744,TAMU,92
143,HiRain_SWW_SP,0.212387779,TAMU,106
144,HiRain_SWW_SP,0.181863753,TAMU,94
145,HiRain_SWW_SP,0.21886711,TAMU,99
146,HiRain_SWW_SP,0.241848768,TAMU,101
147,HiRain_SWW_SP,0.213768957,TAMU,91
148,HiRain_SWW_SP,0.211278547,TAMU,92
149,HiRain_SWW_SP,0.19180209,TAMU,90
150,HiRain_SWW_SP,0.220476223,TAMU,102
151,HiRain_SWW_SP,0.287738577,TAMU,110
152,HiRain_SWW_SP,0.195388328,TAMU,106
153,HiRain_SWW_SP,0.237635861,TAMU,98
154,HiRain_SWW_SP,0.227604298,TAMU,106
155,HiRain_SWW_SP,0.231580564,TAMU,117
156,HiRain_SWW_SP,0.231905939,TAMU,111
157,HiRain_SWW_SP,0.239837183,TAMU,112
158,HiRain_SWW_SP,0.181525342,TAMU,109
159,HiRain_SWW_SP,0.210891102,TAMU,111
160,HiRain_SWW_SP,0.14318759,TAMU,83
161,HiRain_SWW_SP,0.238103682,TAMU,112
162,HiRain_SWW_SP,0.160425138,TAMU,93
163,HiRain_SWW_SP,0.125438212,TAMU,91
164,HiRain_SWW_SP,0.169016849,TAMU,92
165,HiRain_SWW_SP,0.156628874,TAMU,88
166,HiRain_SWW_SP,0.091186434,TAMU,79
167,HiRain_SWW_SP,0.158132572,TAMU,74
168,HiRain_SWW_SP,0.12848399,TAMU,77
169,HiRain_SWW_SP,0.269644456,TAMU,115
170,HiRain_SWW_SP,0.225645429,TAMU,99
171,HiRain_SWW_SP,0.154369986,TAMU,106
172,HiRain_SWW_SP,0.237999875,TAMU,109
173,HiRain_SWW_SP,0.240316527,TAMU,103
174,HiRain_SWW_SP,0.243640955,TAMU,113
175,HiRain_SWW_SP,0.209973934,TAMU,92
176,HiRain_SWW_SP,0.2066379,TAMU,118
177,HiRain_SWW_SP,0.195584577,TAMU,100
178,HiRain_SWW_SP,0.199763991,TAMU,120
179,HiRain_SWW_SP,0.211537836,TAMU,118
180,HiRain_SWW_SP,0.254794821,TAMU,122
181,HiRain_SWW_SP,0.24846382,TAMU,117
182,HiRain_SWW_SP,0.227581011,TAMU,127
183,HiRain_SWW_SP,0.243485056,TAMU,133
184,HiRain_SWW_SP,0.235932423,TAMU,129
185,HiRain_SWW_SP,0.267750172,TAMU,136
186,HiRain_SWW_SP,0.229722012,TAMU,127
187,HiRain_SWW_SP,0.243477759,TAMU,125
188,HiRain_SWW_SP,0.2717347,TAMU,111
189,HiRain_SWW_SP,0.259358584,TAMU,115
190,HiRain_SWW_SP,0.235108215,TAMU,111
191,HiRain_SWW_SP,0.216035203,TAMU,113
192,HiRain_SWW_SP,0.22811242,TAMU,109
193,HiRain_SWW_SP,0.219966673,TAMU,124
194,HiRain_SWW_SP,0.246660364,TAMU,111
195,HiRain_SWW_SP,0.199501645,TAMU,108
196,HiRain_SWW_SP,0.180014814,TAMU,103
197,HiRain_SWW_SP,0.187497759,TAMU,110
198,HiRain_SWW_SP,0.26449062,TAMU,106
